ACRONYM,DEFINITION
ACE,Automated Commercial Environment (Customs and Border Protection)
ACED,Advisory Committee for Employees with Disabilities
ACEP,American College of Emergency Physicians
ACF,Administration for Children and Families (DHHS)
ACG,American College of Gastroenterology
ACGME,Accreditation Council for Graduate Medical Education
ACIL,American Council of Independent Laboratories
ACIP,Advisory Committee on Immunization Practices (CDC)
ACLA,American Clinical Laboratory Association
ACLAD,American Committee on Laboratory Animal Diseases
ACLAM,American College of Laboratory Animal Medicine
ACMP,American College of Medical Physics
ACOL,acceptable carry-over limit
ACP,American College of Physicians
ACPE,Accreditation Council for Pharmacy Education
ACPM,American College of Preventive Medicine
ACR,American College of Radiology
ACRA (ORA),Associate Commissioner for Regulatory Affairs (ORA)
ACRPI,Association of Clinical Research for the Pharmaceutical Industry
ACS,American Chemical Society
ACS,Automated Commercial System (U.S. Customs)
ACS (CBER),Analytical Chemistry Staff (CBER)
ACS (CDER),Advisors and Consultants Staff (CDER)
ACSM,American College of Sports Medicine
ACT,AIDS clinical trials
ACT,applied clinical trials
ACTB (NCTR),Analytical Chemical Techniques Branch (NCTR)
ACTH,adrenocorticotropic hormone
ACTIS,Aids Clinical Trials Information Service
ACUS,Administrative Conference of the United States
ACWA,Administrative Careers with America (OPM)
AD,action due
ad lib,as much as needed
ADA,American Dental Association
ADA,American Diabetes Association
ADA,Americans with Disabilities Act of 1990
ADAA,Animal Drug Availability Act of 1996
ADaM,analysis dataset model (CDISC)
ADAMHA,"Alcohol, Drug Abuse and Mental Health Administration (now SAMHSA)"
ADCOM,advisory committee
ADE,adverse drug event
ADE,adverse drug experience
ADE/ADER,Adverse Drug Experience/Adverse Drug Experience Report
ADEC,Australian Drug Evaluation Committee
AdEERS,Adverse Event Expidited Reporting System (NCI)
ADH,antidiuretic hormone
ADHD,Attention Deficit Hyperactivity Disorder
ADI,acceptable daily intake
ADIMS,Automated Drug Information Management System
ADME,"absorption, distribution, metabolism, and excretion"
ADMIA (CBER),Associate Director for Medical and International Affairs (CBER)
ADP,automated data processing
ADP (CBER),Associate Director for Policy (CBER)
ADR,adverse drug reaction
ADR,adverse drug report
ADR (CBER),Associate Director for Research (CBER)
ADRA,Administrative Dispute Resolution Act
ADRA,Associate Director of Regulatory Affairs
ADRAC,Adverse Drug Reactions Advisory Committee (TGA)
ADRM (CBER),Associate Director for Review Management (CBER)
ADRP,Association of Donor Recruitment Professionals
ADRS,Adverse Drug Reporting System
ADSA,American Dairy Science Association
ADUFA,Animal Drug User Fee Act of 2003
AdvaMed,Advanced Medical Technology Association
AE,adverse event
AE,approvable
AEA,actual expense allowance
AED,Automated External Defibrillators
AER,adverse event report
AERS,Adverse Event Reporting System
AF,administrative file
AF,atrial fibrillation
AFAB,absorbable fibrin adhesive bandage
AFDO,Association of Food and Drug Officials
AFGE,American Federation of Government Employees
AFIA,American Feed Industry Association
AFIP,Armed Forces Institute of Pathology (DoD)
AFP,alpha-fetoprotein
AFSS,Animal Feed Safety System
AGD,action goal date
AGDUFA,Animal Generic Drug User Fee Act
AGRICOLA,Agricultural Online Access (USDA)
AHA,American Hospital Association
AHCPR,Agency for Health Care Policy and Research (now AHRQ)
AHF,antihemophilic factor
AHFS,American Hospital Formulary Service
AHI,Animal Health Institute
AHIC,American Health Information Community
AHRQ,Agency for Healthcare Quality and Research (formerly AHCPR) (DHHS)
AHU,air handling unit
AICRC,Association of Independent Clinical Research Contractors (UK)
AID,Agency for International Development
AIDS,acquired immune deficiency syndrome
AIM,active ingredient manufacturer
AIM,Association for Automatic Identification and Mobility
AIMBE,American Institute for Medical and Biological Engineering
AIMDD,active implantable medical device directive
AIMS,Agency Information Management System
AIN,food additive identification number (ORA AofC code)
AIP,abbreviated inspection system
AIP,application integrity policy
AIRIO,Agency Intramural Research Integrity Officer (NIH)
AIS,automated information system
aka,also known as
AL,annual leave
ALARA,as low as reasonably achievable
ALFB (CBER),Acess Litigation and FOI Branch (CBER)
ALFOI (CBER),Access Litigation and Freedom of Information Branch (CBER)
ALJ,administrative law judge
ALJ (OC),Office of the Administrative Law Judge (OC)
ALL,acute lymphocytic leukemia
alt,alanine aminotransferase
AMA,Agricultural Marketing Act of 1946 (USDA)
AMA,American Medical Association
AMA-DE,American Medical Association's Drug Evaluations
AMB (CDRH),Adminstrative Management Branch (CDRH)
AMDUCA,Animal Medicinal Drug Use Clarification Act
AME,"absorption, metabolism, excretion"
AMF,administrative management of files
AmFAR,American Foundation for AIDS Research
AMG,Arzeneimittelgesetz (West Germany drug law)
AMHPS,Association of Minority Health Professionals Schools
AMI,acute myocardial infarction
AMI,American Meat Institute
AML,acute myelogenous leukemia
AMP,average manufacturer price
AMPI,"Associated Milk Producers, Inc."
AMR,Antimicrobial Resistance
AMS,Agricultural Marketing Service (USDA)
AMS,aseptic meningitis syndrome
AMT (OC),Asset Management Team (OC)
ANA,abbreviated new animal drug number (ORA AofC code)
ANA,antinuclear antibody
ANADA,abbreviated new animal drug application
ANCOVA,analysis of covariance
ANCOVA,analysis of covariance
AND,abbreviated new drug application number (ORA AofC code)
ANDA,abbreviated new drug application
ANOVA,analysis of variance
ANPR,advance notice of proposed rulemaking
ANPRM,advanced notice of proposed rule making
ANRC,American National Red Cross
ANSI,American National Standards Institute
ANZFA,Australia New Zealand Food Authority
AO,administrative officer
AoA,Administration on Aging (DHHS)
AOAC,Association of Official Analytical Chemists
AOB (OC),Accounting Operations Branch (OC)
AODM,adult onset diabetes mellitus
AofC,affirmation of compliance [codes] (ORA)
AOPC,Agency/Organization Program Coordinator
APA,Administrative Procedures Act
APAC,Allergenic Products Advisory Committee  (CBER)
apap,N-acetyl-para-amino-phenol
APBI,Association of the British Pharmaceutical Industry
APEC,Asia-Pacific Economic Cooperation Council
APhA,American Pharmaceutical Association
APHA,American Public Health Association
APHIS,Animal and Plant Health Inspection Service (USDA)
APHL,Association of Public Health Laboratories
API,active pharmaceutical ingredient
APIC,Active Pharmaceutical Ingredients Committee of CEFIC (European Chemical Industry Council)
APIFARMA,Association of the Portuguese Pharmaceutical Industries
APLB (CBER),Advertising and Promotional Labeling Branch (CBER)
APR,annual product review
APSB (OC),Accounting Policy and Systems Branch (OC)
APTF,Application Policy Task Force
APUA,Alliance for Prudent Use of Antibiotics
AQL,acceptable quality level
AR,approvable letter
ARAB (OC),Accounting Reports and Analysis Branch (OC)
ARB,angiotensin receptor blocker
ARC,American Red Cross
ARCH,Administrative Resources Core Hub (CFSAN)
ARCRT,American Registry of Clinical Radiography Technologists
ARDB (CDRH),Anesthesiology and Respiratory Devices Branch (CDRH)
ARDS,acute respiratory distress syndrome
ARENA,Applied Research Ethics National Association
ARF,acute renal failure
ARIES,Administrative Resources Information Exchange System
ARL (ORA),Arkansas Regional Laboratory (ORA)
ARNet,Acquisition Reform Network
ARPA,Advanced Research Projects Agency (DoD)
ARRT,American Registry of Radiologic Technologists
ARS,Acute Radiation Syndrome
ARS,Advancing Regulatory Science
ARS,Agricultural Research Service (USDA)
ART,Architecture Review Team
ART,assisted reproductive technology
ART,assisted reproductive therapy
ARTCA,Antimicrobial Regulations Technical Correction Act of 1998
AS,aortic stenosis
AS (CVM),Administrative Staff (CVM)
ASA,Acoustical Society of America
ASA,American Society of Anesthesiologists
ASA,American Statistical Association
ASA,Americans for Safe Access
ASA,aminosalicylic acid
ASAP,Administrative Systems Automation Project
ASAP,as soon as possible
ASAS,American Society of Animal Science
ASB (OC),Accounting Services Branch (OC)
ASB (OC),Administrative Services Branch (OC)
ASBPO,Armed Services Blood Program Office
ASC,Advertising Standards Council (Canada)
ASCII,American Standard Code for Information Interchange (computer files)
ASCO,American Society for Clinical Oncology
ASCP,American Society for Clinical Pathology
ASCPT,American Society for Clinical Pharmacology and Therapeutics
ASCVD,atherosclerotic cardiovascular disease
ASD,atrial septal defect
ASD (HD),Assistant Secretary of Defense for Homeland Defense
ASGE,American Society for Gastrointestinal Endoscopy
ASHD,atherosclerotic heart disease
ASHRAE,"American Society of Heating, Refrigeration & Air Conditioning Engineers"
ASIA,American Sheep Industry Association
ASICS,Application Specific Integrated Circuit(s)
ASLAP,American Society of Laboratory Animal Practitioners
ASM,American Society for Microbiology
ASME,American Society of Mechanical Engineers
ASPR,Assistant Secretary for Preparedness and Response (HHS)
ASQ,American Society for Quality
ASQC,American Society for Quality Control
ASR,analyte specific reagent
ASRM,American Society for Reproductive Medicine
AST,aspartate aminotransferase
ASTHO,Association of State and Territorial Health Officials
ASTM,American Society for Testing and Materials
AT (OC),Acquisitions Team (OC)
ATC,Anatomical Therapeutic Chemical (Drug Classification System) (WHO)
ATF,"Bureau of Alcohol, Tobacco and Firearms (U.S. Department of Justice)"
ATM,automatic teller machine
ATPA,American Technology Pre-Eminence Act of 1991
ATPM,Association of Teachers and Preventive Medicine
ATS (CDER),Applied Technologies Staff (CDER)
ATSDR,Agency for Toxic Substances and Disease Registry (CDC)
AUC,area under the curve
AUSA,Assistant United States Attorney
AV,atrioventricular
AVA,American Veal Association
AVDA,American Veterinary Distributors Association
AVEG,AIDS Vaccine Evaluation Group
AVMA,American Veterinary Medical Association
AWC,adequate and well-controlled
AWOL,absent without official leave
AWP,average wholesale price
AWS,alternate work schedule
B&F (CVM),Budget and Finance Team (CVM)
BA/BE,bioavailability/bioequivalence
BAC,billing agency code
BaCON,Bacterial Contamination study
BACPAC,bulk activities postapproval changes
BAER,Brief Adverse Event Report Review (CDRH)
BAH,Booz-Allen & Hamilton
BAM,Bacteriological Analytical Manual
BARC,Beltsville Area Agricultural Research Service (USDA)
BARDA,Biomedical Advanced Research and Development Authority
BARQA,British Association of Research Quality Assurance
BARS (CDER),Business Analysis and Reporting Staff (CDER)
BASIS,Blood Availability and Safety Inventory System (HHS)
BATF,"Bureau of Alcohol, Tobacco and Firearms (U.S. Department of Justice)"
BB IND,biological investigational new drug
BBB,bundle branch block
BBR,Bureau of Biologics and Radiopharmaceuticals (Canada)
BBS,bulletin board system
BC/BS,Blue Cross and Blue Shield Association Health Insurance
BCA,Blood Center of America
BCAA,branched-chain amino acids
BCB (CFSAN),Bioanalytical Chemistry Branch (CFSAN)
BCE,beneficial clinical event
BCP,Bureau of Consumer Protection (FTC)
BCPT,Breast Cancer Prevention Trial
BDB,Biologic Devices Branch (CBER)
BDB (CDRH),Bacteriology Devices Branch (CDRH)
BDLS,Blood Donor Locator Service
BDPA,Bureau of Drug Policy and Administration (China)
BDR,budget data request
BDS,Bureau of Drug Surveillance (Canada)
BDSS,Biologics Decision Support System
BEA,Bureau of Economic Analysis (U.S. Department of Commerce)
BECON,Bioengineering Consortium (NIH)
BECS,blood establishment computer software
BENS,Business Executives for National Security
BEq,bioequivalence
BER,Blood Establishment Registration and Product Listing (CBER)
BEST,Biomonitoring of Environmental Status and Trends Program (U.S. Geological Survey)
BFAC,Biologics Field Advisory Committee (CBER)
BFAD,Bureau of Food & Drug Administration (Philippines)
BfArM,Bundesinstitut fur Arzneimittel und Medizinprodukte (German Ministry of Health)
BFL,Biologic establishment license number (ORA AofC code)
BGA,Bundesgesundheitsamt (German Federal Health Office)
BGH,bovine growth hormone
BGMA,British Generic Manufacturer's Association
BHPr,Bureau of Health Professions (HRSA)
BIA,Bureau of Indian Affairs (U.S. Department of the Interior)
BID,two times per day
BIG,Blacks in Government
BIMO,bioresearch monitoring
BIMS,Biologic IND Management System
BIND,biological investigational new drug
BIO,Biotechnology Industry Association
BIOB (CFSAN),Biostatistics Branch (CFSAN)
BIRA,The British Institute of Regulatory Affairs
BIRAMS,Biologics Investigational and Related Applications Management System
BIRS,Business Intelligence Reporting Solution
BISTI,Biomedical Information Science and Technology Initiative (NIH)
BISTIC,Biomedical Information Science and Technology Initiative Consortium (NIH)
BIVAS,Body Image Visual Analog Scale
BLA,biologics license application (CBER)
BLM,Bureau of Land Management (U.S. Department of the Interior)
BLS,biologics license supplement
BLST (CFSAN),Building and Laboratory Services Team (CFSAN)
BLT,Blood Logging and Tracking System (CBER)
BMB (CFSAN),Bioanalytical Methods Branch (CFSAN)
BMBL,Biosafety in Microbiological and Biomedical Laboratories (CDC)
BMI,body mass index
BMIS,Bioresearch Monitoring Information System (CDER)
BMR,basal metabolic rate
BMS (OC),Broadcast Media Staff (OC)
BNA,Bureau of National Affairs
BNF,biotechnology notification file
BOCB (CFSAN),Biological and Organic Chemistry Branch (CFSAN)
BOCF,baseline observation carried forward
BOP,Boards of Pharmacy
BOS (CBER),Building Operations Staff (CBER)
BOS-DO (ORA),Boston (Massachusetts) District Office (ORA)
BP,base pair
BP,blood pressure
BP,British Pharmacopoeia
BPA,blanket purchase agreement
BPA,Bureau of Pharmaceutical Assessment (Canada)
BPAC,Blood Products Advisory Committee (CBER)
BPB (CBER),Blood and Plasma Branch (CBER)
BPC,bulk pharmaceutical chemical
BPC,Bureau of Policy and Coordination (Canada)
BPCA,Best Pharmaceuticals for Children Act
BPCI Act,Biologics Price Competition and Innovation Act of 2009
BPD,biological product deviation
BPD,broncho-pulmonary dysplasia
BPE,bulk pharmaceutical excipient
BPH,benign prostatic hyperplasia
BPHC,Bureau of Primary Health Care (HRSA)
BPL,biologic product license number (ORA AofC code)
BPM,beats per minute
BPR,business process re-engineering
BPSRG,Biomedical and Pharmaceutical Sciences Research Group (UK)
BPWG,Business Process Working Group
BrAPP,British Association of Pharmaceutical Physicians
BRCC,Biologics Research Coordinating Committee (CBER)
BRFSS,Benavioral Risk Factor Surveillance System (CDC)
BRMAC,Biological Response Modifiers Advisory Committee (CBER)
BRMD,Bureau of Radiation and Medical Devices (Canada)
BrMIS,Bioresearch Monitoring Information System
BRMS,Biologics Regulatory Management System
BSA,body surface area
BSB (CFSAN),"Biotechnology Studies Branch (Chicago, Illinois) (CFSAN)"
BSC,biological safety cabinet
BSC,Blood Safety Committee
BSC,Business Service Centers
BSD,Blood Service Directive
BSE,bovine spongiform encephalopathy (mad cow disease)
BSI,British Standards Institute
BSL,Biosafety level
BST,bovine somatotropin
BSTS,Bundled Supplement Tracking System
BsUFA,Biosimilar User Fee Act
Bt,Bacillus thuringiensis
BT,bioterrorism
BT Act,Bioterrorism Act (Public Health Security and Bioterrorism Preparedness and Response Act of 2002)
BTA,The Bioterroism Act of 2002
BTCB (CBER),Blood and Tissue Compliance Branch (CBER)
BTD,Breakthrough Therapy Designation
BTR,Blood and Tissue Registration System
BUF-DO (ORA),Buffalo (New York) District Office (ORA)
BUN,blood urea nitrogen
BUS,BIMS User Support Group
BVB (CBER),Bacterial Vaccine and Allergenic Products Branch (CBER)
BVC,British Veterinary Codex
BW,Body Weight
BWM,basic workload measurement
BWM,Biologics Workload Management
BX,biopsy
c,with
C & R,corrections and removals
C & S,culture and sensitivity
C of A,certificate of analysis
C-TPAT,Customs-Trade Partnership Against Terrorism
C/CC,career or career conditional
C3I,"communications, command, control, and intelligence"
CA,Chemical Abstracts
CA,committee assignment
CA,competent authority (U.K.)
CAAT,Center for Alternatives to Animal Testing (Johns Hopkins)
CAB,conformity assessment body
CAB (OC),Computer Applications Branch (OC)
CABE,corrective action(s) being effected
CABG,coronary artery bypass graft
caBIG,Cancer Biomedical Informatics Grid (NIH)
CABP,community-acquired bacterial pneumonia
CABs,conformity assessment bodies
CAC,Carcinogenicity Assessment Committee (CDER)
CACBERS,Committee for the Advancement of CBER Science
CACTIS,Center ADP/TC Computer Tracking and Inventory System (CFSAN)
CAD,control of automated processes
CAD,coronary artery disease
caDSR,Cancer Data Standards Repository (NCI)
CAERS,CFSAN Adverse Event Reporting System
CAERST (CFSAN),CFSAN Adverse Event Reporting System Team
CAFDAS,Committee for the Advancement of FDA Science
cal,calorie
CALA,computer-assisted license application
CAN,common accounting number
CANDA,computer assisted new drug application
CAO,change of appointing office
CAP,College of American Pathologists
CAP,color additive petition
CAP,corrective action plan
CAPA,corrective and preventive action
CAPD,continuous ambulatory peritoneal dialysis
CAPLA,computer assisted product license application
CAPLAR,Computer-Assisted Product License Application Review
CAPRA,Canadian Association of Professional Regulatory Affairs
CARS,CDRH Ad hoc Reporting System
CARS,Compliance Achievement Reporting System
CARTS,CFSAN Automated Research Tracking System
CAS,Chemical Abstracts Service
CAs,competent authorities
CASE,computer aided software engineering
CASPER,Center Automated System Process Exchange and Reporting (CFSAN)
CAST,Calf Antibiotic and Sulfonamide Test
CAST,Council for Agricultural Science
CAT,computerized axial tomography
CATCH,Child and Adolescent Trial for Cardiovascular Health (NIH)
CBC,complete blood count
CBCTN,Community-based Clinical Trials Network (AmFAR)
CBE,changes being effected
CBER,Center for Biologics Evaluation and Research (FDA)
CBG,capillary blood gas
CBIAC,Chemical and Biological Defense Information Analysis Center (DoD)
CBO,Congressional Budget Office (U.S.)
CBP,Customs and Border Protection (U.S. Department of Homeland Security)
CBRA,California Biomedical Research Association
CBRG,Cancer Biomarkers Research Group (NCI)
CBRN,Chemical Biological Radiological Nuclear
CBSC,cord blood stem cells
CBT,computer-based training
CC,chief complaint
CC,Clinical Center (NIH)
CC,Commissioned Corps
CC,conference call
CC,Coordinating Committee
CC/RVDF,Codex Committee on Residues of Veterinary Drugs in Foods
CCA,Clinger-Cohen Act (formerly the Information Technology Management Reform Act)
CCB,Change Control Board
CCB (CFSAN),Color Certification Branch (CFSAN)
CCBC,Council of Community Blood Centers
CCC,Chinese ceramicware factory code (ORA AofC code)
CCC,Commodity Credit Corporation (FSA)
CCC,Compliance Coordinating Committee (CDER)
CCEHRP,Committee to Coordinate Environmental Health and Related Programs (PHS)
CCFAC,Codex Committee on Food Additives and Contaminants
CCFICS,Codex Committee on Food Import and Export Certification and Inspection Systems
CCFL,Codex Committee on Food Labeling
CCHIT,Certification Commission for Healthcare Information Technology
CCI,corrected count increment
CCOHTA,Canadian Coordinating Office for Health Technology Assessment
CCOP,Community Clinical Oncology Program (NCI)
CCP,critical control point
CCPR,Codex Committee on Pesticide Residues
CCR,CDER request for collaborative review
CCR,Center for Cancer Research (NCI)
CCRA,Clinical Contract Research Association (UK)
CCRC,certified clinical research coordinator
CCST (CFSAN),Clinical Chemistry Support Team (CFSAN)
CCU,cardiac care unit
CCU,clean catch urine
CCVDF,Codex Committee on Veterinary Drugs in Foods
CD-ROM,compact disc read-only memory
CDA,clinical document architecture
CDASH,Clinical Data Acquisition Standards Harmonization
CDC,Centers for Disease Control and Prevention (DHHS)
CDDI,Collaboration for Drug Development Improvement
CDDTB (CBER),Career Development and Directed Training Branch (CBER)
CDER,Center for Drug Evaluation and Research (FDA)
CDIS,Component Distribution Information System
CDISC,Clinical Data Interchange Standards Consortium
CDM,clinical data management
CDP,Candidate Development Program (SES)
CDP,career development plan
CDR,central document room
CDR,clinical drug request
CDRH,Center for Devices and Radiological Health (FDA)
CDRS (CFSAN),Case Development and Recall Staff (CFSAN)
CDSA,Controlled Drugs and Substances Act (Canada)
CDTL,Cross Discipline Team Leader
CDUS,Clinical Data Update System (NCI)
CE,continuing education
CE Mark,CE (Conformite Europeene or European Conformity) marking
CE-FO (ORA),Central Regional Field Office
CEA,Council of Economic Advisers
CEARS,CBER Error and Accident Reporting System
CEB (CDER),Clinical Evaluation Branch (CBER)
CEB (CFSAN),Compliance and Enforcement Branch (CFSAN)
CEDR,Comprehensive Epidemiologic Data Resource (U.S. Department of Energy)
CEF,chick embryo fibroblast
CEFIC,European Chemical Industry Council
CEMB (CDRH),Cardiac Electrophysiology and Monitoring Devices Branch (CDRH)
CEN,Comite Europeen de Normalisation (European Committee for Standardization)
CENELEC,Comite Europeen de Normalisation Electrotechnique (European Committee for Electrotechnical Standardization)
CEO,Chief Executive Officer
CEPPO,Chemical Emergency Preparedness and Prevention Office (EPA)
CEQ,Council on Environmental Quality
CERCLIS,"Comprehensive Environmental Response, Compensation and Liability Information System (EPA)"
CERG,CBER Emergency Relocation Group
CERSI,Centers of Excellence in Regulatory Science and Innovation
CERT,Community Emergency Response Team
CERTS,Centers for Education and Research on Therapeutics (DHHS)
CES (CFSAN),Consumer Education Staff (CFSAN)
CET (CFSAN),Clinical Evaluation Team (CFSAN)
CEU,continuing education units
CF,cystic fibrosis
cfa,Catfish Farmers of America
CFAST,Coalition For Accelerating Standards and Therapies
CFC,chlorofluorohydrocarbons
CFC,Combined Federal Campaign
CFD,computational fluid dynamic
CFDA,Catalog of Federal Domestic Assistance
CFG,Center for Functional Genomics (NCTR)
CFG,Certificate for Foreign Government
CFIA,Canadian Food Inspection Agency
CFN,central file number (ORA)
CFO,chief financial officer
CFO (OC),Chief Financial Officer (OC)
CFOC,Chief Financial Officers Council
CFR,Code of Federal Regulations
CFR,Code of Federal Regulations section (ORA AofC code)
CFSAN,Center for Food Safety and Applied Nutrition (FDA)
CFU,colony forming unit
CGCS,computer-generated cover sheet
CGI,common gateway interface
CGL,chronic granulocytic leukemia
cGMP,current good manufacturing practice
CGMPR,Current Good Manufacturing Practices Regulations
CGS (ORA),Contract and Grants Staff (ORA)
CGTP,current good tissue practice
CH,clinical hold
CHAMPVA,Civilian Health and Medical Program of the Department of Veterans Affairs
CHAT (CFSAN),Chemical Hazards Assessment Team (CFSAN)
CHCB (CFSAN),Chemical Contaminants Branch (CFSAN)
CHD,coronary heart disease
CHDC,Contractor Hosted Data Center
CHF,congestive heart failure
CHI,Consolidated Health Informatics Initiative
CHID,Combined Health Information Database (NIH)
CHISSA,Center for High Integrity Software System Assurance
ChLIA,chemi-luminescent immunoassay
CHMP,Committee for Medicinal Products for Human Use
CHO,carbohydrate
CHPA,Consumer Healthcare Products Association
CHSB (CFSAN),Chemical Hazards Science Branch (CFSAN)
CI,clinical investigator
CI,confidence interval
CI,confidential informant
CI,criminal investigator
CI/KR,Critical infrastructure and key resources
CIA,Central Intelligence Agency (U.S.)
CIA,corporate integrity agreement
CIAC,Computer Incident Advisory Capability (U.S. Department of Energy)
CIAO,Critical Infrastructure Assurance Office
CIB,clinical investigator's brochure
CIB (CFSAN),Compliance Information Branch (CFSAN)
CIN,Color Index number (ORA AofC code)
CINAHL,Cumulative Index to Nursing and Allied Health Literature
CIO,chief information officer
CIOMS,Council for International Organizations of Medical Sciences (WHO)
CIP,clean in place
CIP,Critical Infrastructure Protection
CIPP,Critical Infrastructure Protection Program
CIR,cosmetic ingredient review
CIRMS,Council on Ionizing Radiation Measurements and Standards
CIRS,Center Information Retrieval System (CDRH)
CIS,Cancer Information Service (NCI)
CIS,catastrophic incident supplement (FEMA)
CISET,"Committee on International Science, Engineering and Technology"
CIT,Center for Information Technology (NIH)
CITES,Convention on International Trade in Endangered Species of Wild Fauna and Flora
CJD,Creutzfeldt Jakob disease
CLA,conference lodging allowance
CLIA,Clinical Laboratory Improvement Amendments of 1988
CLIIL,Clinical Investigator Inspection List
CLSI,Clinical and Laboratory Standards Institute
CLT,central limit theorem
CM,case management
CM,chemistry and manufacturing (Canada)
CM,committee meeting
CM,configuration management
CMA,Chemical Manufacturers Association
Cmax,maximum plasma concentration
CMC,"chemistry, manufacturing, and control"
CMCCC,Chemistry and Manufacturing Controls Coordinating Committee (CDER)
CME,continuing medical education
CMGB (CDER),Cae Management and Guidance Branch (CDER)
CMHS,Center for Mental Health Services (SAMHSA)
CMI,Consumer Medical Information
CMO,contract management organization
CMP,civil money penalty
CMP/ HMO,comprehensive medical plan/health maintenance organization
CMS,Centers for Medicare and Medicaid Services (DHHS) (formerly HCFA)
CMV,cytomegalovirus
CN,cranial nerves
CND (CDRH),Cardiovascular/Neurological Devices Branch (CDRH)
CNPP,Center for Nutrition Policy and Promotion (USDA)
CNS,central nervous system
CNS,Congress of Neurological Surgeons
CO,commissioned officer
CO,compliance officer
CO,contract officer
COA,certificate of analysis
COA,Commissioned Officers Association (PHS)
COB,close of business
COB (OC),Contract Operations Branch (OC)
COBRA,Consolidated Omnibus Budget Reconciliation Act
COBTA,Council on Biologics and Therapeutic Agents (of AVMA)
COCB (CFSAN),Communication and Coordination Branch (CFSAN)
CODB (CDRH),Cardiovascular and Ophthalmic Devices Branch (CDRH)
CODEX,Codex Alimentarius
CoE,Center of Excellence
COE,certificate of exportability
COFEPRIS,Comisión Federal para la Protección contra Riesgos Sanitarios (Federal Commission for the Protection Against Sanitary Risks) (Mexico)
COI,conflict of interest
COLA,cost of living allowance
COLD,chronic obstructive lung disease
COMAH,Control of Major Accident Hazards Regulations 1999
COMIS,Center-wide Oracle Management Information System
COMSTAT,Compliance Status Information System
CONOPS,concept of operations
CONSER,Cooperative Online Serials
CONUS,continental United States
COOL,country-of-origin labeling
COOP,continuity of operations plan
COP,clean out of place
COP,Coastal Ocean Program (NOAA)
COP,continuation of pay
